?s	?tripleCount	?types
<https://pmsr.net/ont/DPL1784879596585391>	20	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596740141>	20	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596801451>	20	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596173751>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596211201>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596358801>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596379591>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596409511>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596421821>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596471141>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596521071>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596552051>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596615561>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596777301>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596789841>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596841681>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596851201>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/DPL1784879596983281>	18	"http://hadatac.org/ont/vstoi#Deployment"
<https://pmsr.net/ont/INS1739397137461495/CTS/0001>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0002>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0003>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0004>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0005>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0006>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0007>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0008>	13	
<https://pmsr.net/ont/INS1739397137461495/CTS/0009>	13	
<https://pmsr.net/ont/DFL1786284423566382>	10	"http://hadatac.org/ont/hasco/DataFile"
<https://pmsr.net/ont/INI1784879596105711>	10	"https://pmsr.net/ont/INS1739397556188145"
<https://pmsr.net/ont/INI1784879596131231>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596173251>	10	"https://pmsr.net/ont/INS1739397556188145"
<https://pmsr.net/ont/INI1784879596190461>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596202791>	10	"https://pmsr.net/ont/INS1739823398493725"
<https://pmsr.net/ont/INI1784879596266991>	10	"https://pmsr.net/ont/INS1739823398493725"
<https://pmsr.net/ont/INI1784879596300741>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596301331>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596358691>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596663271>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596705991>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596716181>	10	"https://pmsr.net/ont/INS1739397556188145"
<https://pmsr.net/ont/INI1784879596852331>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596903501>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596916401>	10	"https://pmsr.net/ont/INS1739823398493725"
<https://pmsr.net/ont/INI1784879596936661>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596950011>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INI1784879596976001>	10	"https://pmsr.net/ont/INS1739397137461495"
<https://pmsr.net/ont/INS1739823398493725/CTS/0001>	10	
<https://pmsr.net/ont/CPI0042658878478>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI0224109627489>	7	"https://pmsr.net/ont/COM1738099771423295"
<https://pmsr.net/ont/CPI0294736558787>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI0311274391218>	7	"https://pmsr.net/ont/COM1786054978466647000"
<https://pmsr.net/ont/CPI0311765936067>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI0347356302353>	7	"https://pmsr.net/ont/COM9ccf75d269b2b6120"
<https://pmsr.net/ont/CPI0370277807266>	7	"https://pmsr.net/ont/COM910906a6c47d60667"
<https://pmsr.net/ont/CPI0385876926410>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI0387944042378>	7	"https://pmsr.net/ont/COM9ce929fda23c7e246"
<https://pmsr.net/ont/CPI0439480507344>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI0476680289218>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI0502064983078>	7	"https://pmsr.net/ont/COM1786054978466652000"
<https://pmsr.net/ont/CPI0542986476918>	7	"https://pmsr.net/ont/COM1739399134970895"
<https://pmsr.net/ont/CPI0572375320973>	7	"https://pmsr.net/ont/COM94cb8d9390f7e95ef"
<https://pmsr.net/ont/CPI0574984151883>	7	"https://pmsr.net/ont/COM1738187586682545"
<https://pmsr.net/ont/CPI0615345759015>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI0630162723897>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI0647706382943>	7	"https://pmsr.net/ont/COM9ce929fda23c7e246"
<https://pmsr.net/ont/CPI0679382551864>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI0773067110279>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI0786785861566>	7	"https://pmsr.net/ont/COM916f797ebef7cb097"
<https://pmsr.net/ont/CPI0831323022252>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI0837530856940>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI0940636937117>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI0941693965836>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI0963900985538>	7	"https://pmsr.net/ont/COM1738187818694655"
<https://pmsr.net/ont/CPI0978795890884>	7	"https://pmsr.net/ont/COM931d6340657316a0e"
<https://pmsr.net/ont/CPI1006222817195>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI1061027558794>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI1062194583381>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI1149254991817>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI1228183216438>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI1272614724265>	7	"https://pmsr.net/ont/COM1738187818694655"
<https://pmsr.net/ont/CPI1328046693086>	7	"https://pmsr.net/ont/COM1738100153764155"
<https://pmsr.net/ont/CPI1336126666404>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI1353275160625>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI1364291124520>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI1525655732121>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI1536887366038>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI1537243437803>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI1567853262082>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI1581033991001>	7	"https://pmsr.net/ont/COM99b3a72b8d17baa57"
<https://pmsr.net/ont/CPI1585228889059>	7	"https://pmsr.net/ont/COM1786054978466652000"
<https://pmsr.net/ont/CPI1630997813394>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI1711206826330>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI1879732778481>	7	"https://pmsr.net/ont/COM99b3a72b8d17baa57"
<https://pmsr.net/ont/CPI1886751456530>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI1953104334163>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI1971847319129>	7	"https://pmsr.net/ont/COM9a53a6e7fef7f48cb"
<https://pmsr.net/ont/CPI2115260540927>	7	"https://pmsr.net/ont/COM97e1b412645fe50a2"
<https://pmsr.net/ont/CPI2136679003342>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI2195798807697>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI2385493947917>	7	"https://pmsr.net/ont/COM1738188452521625"
<https://pmsr.net/ont/CPI2399838562343>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI2487278576131>	7	"https://pmsr.net/ont/COM9ccf75d269b2b6120"
<https://pmsr.net/ont/CPI2505830231212>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI2512112215984>	7	"https://pmsr.net/ont/COM95cb2c19f033fd086"
<https://pmsr.net/ont/CPI2573421442695>	7	"https://pmsr.net/ont/COM1786054978466482000"
<https://pmsr.net/ont/CPI2597532569735>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI2779174299478>	7	"https://pmsr.net/ont/COM910906a6c47d60667"
<https://pmsr.net/ont/CPI2841121039205>	7	"https://pmsr.net/ont/COM9ccf75d269b2b6120"
<https://pmsr.net/ont/CPI2883496993222>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI3054160204214>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI3059697525482>	7	"https://pmsr.net/ont/COM94cb8d9390f7e95ef"
<https://pmsr.net/ont/CPI3089947718071>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI3174655820890>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI3216351520950>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI3321976440467>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI3335518337898>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI3456466255557>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI3546774164755>	7	"https://pmsr.net/ont/COM1786054978466477000"
<https://pmsr.net/ont/CPI3959656841687>	7	"https://pmsr.net/ont/COM1739399134970895"
<https://pmsr.net/ont/CPI4202788848154>	7	"https://pmsr.net/ont/COM1786054978466647000"
<https://pmsr.net/ont/CPI4290482162068>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI4314765208144>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI4375379800192>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI4384864043274>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI4433323671890>	7	"https://pmsr.net/ont/COM1738187586682545"
<https://pmsr.net/ont/CPI4447465951800>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI4490531796980>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI4532689666221>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI4568289153166>	7	"https://pmsr.net/ont/COM1738188452521625"
<https://pmsr.net/ont/CPI4603257198007>	7	"https://pmsr.net/ont/COM931d6340657316a0e"
<https://pmsr.net/ont/CPI4614166735514>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI4719063301206>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI4722244459683>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI4740989498814>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI4747331382402>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI4842568002626>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI4860657706081>	7	"https://pmsr.net/ont/COM1738100153764155"
<https://pmsr.net/ont/CPI4864228782910>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI4895285967675>	7	"https://pmsr.net/ont/COM916f797ebef7cb097"
<https://pmsr.net/ont/CPI4986482755756>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI5038280342477>	7	"https://pmsr.net/ont/COM1786054978466477000"
<https://pmsr.net/ont/CPI5110675307319>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI5122485185786>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI5130746492421>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI5254971828047>	7	"https://pmsr.net/ont/COM1786054978466477000"
<https://pmsr.net/ont/CPI5286936902472>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI5329028945272>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI5442455551516>	7	"https://pmsr.net/ont/COM1786054978466482000"
<https://pmsr.net/ont/CPI5521402193567>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI5523181803461>	7	"https://pmsr.net/ont/COM1738187586682545"
<https://pmsr.net/ont/CPI5562818936041>	7	"https://pmsr.net/ont/COM1738099771423295"
<https://pmsr.net/ont/CPI5663444629881>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI5724034157945>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI5737759123439>	7	"https://pmsr.net/ont/COM97e1b412645fe50a2"
<https://pmsr.net/ont/CPI5926729031377>	7	"https://pmsr.net/ont/COM1738100153764155"
<https://pmsr.net/ont/CPI5932733067414>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI6008319939197>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI6073081392368>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI6092694141056>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI6104106460642>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI6140569112784>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI6190232014841>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI6257645489513>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI6448988670631>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI6464560687198>	7	"https://pmsr.net/ont/COM95cb2c19f033fd086"
<https://pmsr.net/ont/CPI6498793785047>	7	"https://pmsr.net/ont/COM95cb2c19f033fd086"
<https://pmsr.net/ont/CPI6564220492770>	7	"https://pmsr.net/ont/COM1738187818694655"
<https://pmsr.net/ont/CPI6630635509574>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI6688829059695>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI6966523132614>	7	"https://pmsr.net/ont/COM1786054978466711000"
<https://pmsr.net/ont/CPI6978218910936>	7	"https://pmsr.net/ont/COM1786054978466652000"
<https://pmsr.net/ont/CPI7060323258903>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI7081994501791>	7	"https://pmsr.net/ont/COM99b3a72b8d17baa57"
<https://pmsr.net/ont/CPI7083644432581>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI7205111839068>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI7337874171947>	7	"https://pmsr.net/ont/COM9a53a6e7fef7f48cb"
<https://pmsr.net/ont/CPI7471574996887>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI7487522006094>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI7495292343594>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI7567470928333>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI7586372340116>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI7599704982262>	7	"https://pmsr.net/ont/COM916f797ebef7cb097"
<https://pmsr.net/ont/CPI7616545118677>	7	"https://pmsr.net/ont/COM1738188452521625"
<https://pmsr.net/ont/CPI7635150395662>	7	"https://pmsr.net/ont/COM94cb8d9390f7e95ef"
<https://pmsr.net/ont/CPI7780955376598>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI7802050951193>	7	"https://pmsr.net/ont/COM9ce929fda23c7e246"
<https://pmsr.net/ont/CPI8030268837213>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI8042736800175>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI8078012494837>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI8091451557297>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI8124327463169>	7	"https://pmsr.net/ont/COM948ef0b0d7a09cc76"
<https://pmsr.net/ont/CPI8129724613753>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI8207998368627>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI8429992995348>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI8450441711947>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI8485842196696>	7	"https://pmsr.net/ont/COM1786054978466647000"
<https://pmsr.net/ont/CPI8518853006279>	7	"https://pmsr.net/ont/COM90e60dc984ff6a513"
<https://pmsr.net/ont/CPI8576577202752>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI8639815688873>	7	"https://pmsr.net/ont/COM9a53a6e7fef7f48cb"
<https://pmsr.net/ont/CPI8647315612972>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI8732286866374>	7	"https://pmsr.net/ont/COM97e1b412645fe50a2"
<https://pmsr.net/ont/CPI8784544338787>	7	"https://pmsr.net/ont/COM931d6340657316a0e"
<https://pmsr.net/ont/CPI8809523844577>	7	"https://pmsr.net/ont/COM1786054978466482000"
<https://pmsr.net/ont/CPI9031805225759>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI9089125570149>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI9095013878324>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI9181339482702>	7	"https://pmsr.net/ont/COM96337511110a8ba07"
<https://pmsr.net/ont/CPI9199925660144>	7	"https://pmsr.net/ont/COM9f281c65dd23087a6"
<https://pmsr.net/ont/CPI9241514063403>	7	"https://pmsr.net/ont/COM1739399134970895"
<https://pmsr.net/ont/CPI9269801308798>	7	"https://pmsr.net/ont/COM1786054978466706000"
<https://pmsr.net/ont/CPI9313855264286>	7	"https://pmsr.net/ont/COM986d2eae69fc5432a"
<https://pmsr.net/ont/CPI9694748133873>	7	"https://pmsr.net/ont/COM93e7212f043f1983f"
<https://pmsr.net/ont/CPI9799158101713>	7	"https://pmsr.net/ont/COM9b60fd244446501f2"
<https://pmsr.net/ont/CPI9907785028863>	7	"https://pmsr.net/ont/COM1738099771423295"
<https://pmsr.net/ont/CPI9975888287893>	7	"https://pmsr.net/ont/COM910906a6c47d60667"
<https://pmsr.net/ont/PFI1784879596163411>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596184541>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596244291>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596286511>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596392551>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596409401>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596626901>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596665921>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596787471>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/PFI1784879596797081>	7	"http://hadatac.org/ont/vstoi#Laboratory"
<https://pmsr.net/ont/DPC0006592387626>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0008859563881>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0126458382377>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0151562978576>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0221818051497>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0240468164976>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0246799025866>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0275509838342>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0318428898423>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0416979966949>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0690994823896>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0781690783224>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0842825442223>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0848026675503>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0860293577452>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0896735197466>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC0969923236042>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1122804289259>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1139849791142>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1167773714280>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1327023412827>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1465051019035>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1496333892273>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1545760913587>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1649026623008>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1688754849258>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1722166766415>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
<https://pmsr.net/ont/DPC1732631723725>	6	"http://hadatac.org/ont/vstoi#ComponentDeployment"
